Unnamed: 0_x,campaign_id_x,channel,budget,Unnamed: 0_y,customer_id,response,Unnamed: 0,campaign_id_y,converted,amount
10,CMP110,Google,8000000,31,CUS1031,Ignore,21.0,CMP101,0.0,100000.0
10,CMP110,Google,8000000,31,CUS1031,Ignore,44.0,CMP102,,350000.0
10,CMP110,Google,8000000,31,CUS1031,Ignore,54.0,CMP108,1.0,500000.0
10,CMP110,Google,8000000,31,CUS1031,Ignore,107.0,CMP102,1.0,100000.0
10,CMP110,Google,8000000,41,CUS1041,View,,,,
10,CMP110,Google,8000000,88,CUS1088,Click,,,,
10,CMP110,Google,8000000,94,CUS1094,Ignore,24.0,CMP111,0.0,100000.0
10,CMP110,Google,8000000,94,CUS1094,Ignore,38.0,CMP103,0.0,100000.0
11,CMP111,Facebook,7000000,10,CUS1010,View,,,,
11,CMP111,Facebook,7000000,22,CUS1022,Ignore,,,,
11,CMP111,Facebook,7000000,28,CUS1028,View,,,,
11,CMP111,Facebook,7000000,50,CUS1050,Click,84.0,CMP103,0.0,
11,CMP111,Facebook,7000000,50,CUS1050,Click,98.0,CMP115,0.0,300000.0
11,CMP111,Facebook,7000000,55,CUS1055,Click,20.0,CMP103,1.0,100000.0
11,CMP111,Facebook,7000000,55,CUS1055,Click,70.0,CMP118,1.0,200000.0
11,CMP111,Facebook,7000000,74,CUS1074,Ignore,92.0,CMP102,1.0,100000.0
11,CMP111,Facebook,7000000,101,CUS1101,Ignore,,,,
12,CMP112,TikTok,7000000,42,CUS1042,Click,,,,
12,CMP112,TikTok,7000000,77,CUS1077,Ignore,,,,
12,CMP112,TikTok,7000000,92,CUS1092,Click,,,,
12,CMP112,TikTok,7000000,96,CUS1096,View,,,,
12,CMP112,TikTok,7000000,109,CUS1109,Ignore,35.0,CMP109,1.0,350000.0
12,CMP112,TikTok,7000000,109,CUS1109,Ignore,39.0,CMP113,0.0,200000.0
12,CMP112,TikTok,7000000,109,CUS1109,Ignore,79.0,CMP107,0.0,200000.0
13,CMP113,TikTok,8000000,24,CUS1024,View,,,,
13,CMP113,TikTok,8000000,36,CUS1036,Click,,,,
13,CMP113,TikTok,8000000,45,CUS1045,Click,119.0,CMP116,1.0,200000.0
13,CMP113,TikTok,8000000,89,CUS1089,Ignore,13.0,CMP115,0.0,
13,CMP113,TikTok,8000000,89,CUS1089,Ignore,66.0,CMP117,1.0,300000.0
13,CMP113,TikTok,8000000,89,CUS1089,Ignore,72.0,CMP102,,350000.0
13,CMP113,TikTok,8000000,89,CUS1089,Ignore,81.0,CMP112,0.0,200000.0
13,CMP113,TikTok,8000000,110,CUS1110,Ignore,6.0,CMP104,1.0,300000.0
14,CMP114,TikTok,5000000,5,CUS1005,View,40.0,CMP109,1.0,300000.0
14,CMP114,TikTok,5000000,5,CUS1005,View,96.0,CMP108,0.0,200000.0
14,CMP114,TikTok,5000000,12,CUS1012,View,116.0,CMP110,,200000.0
14,CMP114,TikTok,5000000,46,CUS1046,Click,7.0,CMP100,,200000.0
14,CMP114,TikTok,5000000,54,CUS1054,Ignore,,,,
14,CMP114,TikTok,5000000,66,CUS1066,Click,27.0,CMP105,,350000.0
14,CMP114,TikTok,5000000,68,CUS1068,Click,14.0,CMP114,1.0,200000.0
14,CMP114,TikTok,5000000,68,CUS1068,Click,17.0,CMP110,0.0,500000.0
14,CMP114,TikTok,5000000,86,CUS1086,Click,37.0,CMP112,0.0,200000.0
14,CMP114,TikTok,5000000,105,CUS1105,View,,,,
15,CMP115,Email,7000000,6,CUS1006,View,,,,
15,CMP115,Email,7000000,51,CUS1051,Ignore,86.0,CMP112,0.0,500000.0
15,CMP115,Email,7000000,63,CUS1063,Ignore,2.0,CMP108,0.0,200000.0
15,CMP115,Email,7000000,63,CUS1063,Ignore,3.0,CMP103,1.0,100000.0
15,CMP115,Email,7000000,63,CUS1063,Ignore,55.0,CMP116,1.0,
16,CMP116,TikTok,8000000,7,CUS1007,Click,,,,
16,CMP116,TikTok,8000000,34,CUS1034,Ignore,45.0,CMP114,0.0,500000.0
16,CMP116,TikTok,8000000,34,CUS1034,Ignore,117.0,CMP114,,100000.0
16,CMP116,TikTok,8000000,48,CUS1048,Ignore,108.0,CMP105,,350000.0
16,CMP116,TikTok,8000000,85,CUS1085,Ignore,,,,
16,CMP116,TikTok,8000000,98,CUS1098,View,115.0,CMP111,1.0,200000.0
16,CMP116,TikTok,8000000,119,CUS1119,View,5.0,CMP104,1.0,300000.0
17,CMP117,Email,8000000,30,CUS1030,View,,,,
17,CMP117,Email,8000000,56,CUS1056,Click,94.0,CMP104,1.0,100000.0
17,CMP117,Email,8000000,61,CUS1061,View,109.0,CMP100,0.0,350000.0
17,CMP117,Email,8000000,114,CUS1114,View,113.0,CMP104,1.0,100000.0
18,CMP118,Google,8000000,0,CUS1000,Click,57.0,CMP116,0.0,100000.0
18,CMP118,Google,8000000,0,CUS1000,Click,60.0,CMP104,,300000.0
18,CMP118,Google,8000000,8,CUS1008,Click,32.0,CMP118,,500000.0
18,CMP118,Google,8000000,8,CUS1008,Click,49.0,CMP108,0.0,350000.0
18,CMP118,Google,8000000,21,CUS1021,Ignore,28.0,CMP102,1.0,
18,CMP118,Google,8000000,33,CUS1033,Ignore,,,,
18,CMP118,Google,8000000,52,CUS1052,Click,,,,
18,CMP118,Google,8000000,84,CUS1084,View,,,,
18,CMP118,Google,8000000,108,CUS1108,Ignore,61.0,CMP110,,350000.0
19,CMP119,Google,5000000,23,CUS1023,Ignore,,,,
19,CMP119,Google,5000000,25,CUS1025,View,90.0,CMP114,0.0,350000.0
19,CMP119,Google,5000000,104,CUS1104,Ignore,,,,
19,CMP119,Google,5000000,115,CUS1115,Ignore,47.0,CMP115,1.0,200000.0
19,CMP119,Google,5000000,115,CUS1115,Ignore,56.0,CMP100,1.0,200000.0
19,CMP119,Google,5000000,115,CUS1115,Ignore,95.0,CMP118,1.0,100000.0
19,CMP119,Google,5000000,116,CUS1116,Ignore,110.0,CMP109,1.0,350000.0
